Player,Age,Team,Price
Erling Haaland,24,Man City,€198.8M
Martin Ødegaard,26,Arsenal,€126.5M
Alexander Isak,25,Newcastle Utd.,€120.3M
Cole Palmer,23,Chelsea,€115.4M
Declan Rice,26,Arsenal,€107.8M
Alexis Mac Allister,26,Liverpool,€106.1M
Phil Foden,24,Man City,€105.7M
Bukayo Saka,23,Arsenal,€101.3M
Ryan Gravenberch,22,Liverpool,€85.3M
Bruno Guimarães,27,Newcastle Utd.,€83.2M
Moisés Caicedo,23,Chelsea,€80.7M
William Saliba,24,Arsenal,€79.5M
Omar Marmoush,26,Man City,€79.1M
Joško Gvardiol,23,Man City,€78.7M
Gabriel Magalhães,27,Arsenal,€75.5M
Sávio,21,Man City,€74.8M
Enzo Fernández,24,Chelsea,€73.7M
Dominik Szoboszlai,24,Liverpool,€71.4M
Brennan Johnson,23,Tottenham,€71.3M
Lucas Paquetá,27,West Ham United,€71.2M
Leny Yoro,19,Man Utd,€71M
Luis Díaz,28,Liverpool,€71M
Kai Havertz,25,Arsenal,€70.5M
Morgan Rogers,23,Aston Villa,€69M
Murillo,22,Nottingham,€68.4M
Cody Gakpo,26,Liverpool,€67.5M
Nicolas Jackson,23,Chelsea,€66.2M
Jérémy Doku,22,Man City,€66.2M
Kobbie Mainoo,20,Man Utd,€66M
Jurrien Timber,23,Arsenal,€65.5M
Rico Lewis,20,Man City,€62.7M
Matheus Cunha,25,Wolverhampton,€62.6M
Gabriel Martinelli,23,Arsenal,€62.6M
Eberechi Eze,26,C. Palace,€62.2M
Amadou Onana,23,Aston Villa,€62.1M
Micky van de Ven,24,Tottenham,€61.8M
Mohammed Kudus,24,West Ham United,€61.7M
Morgan Gibbs-White,25,Nottingham,€61.7M
Curtis Jones,24,Liverpool,€61.7M
Miloš Kerkez,21,B'mouth,€61.5M
Ollie Watkins,29,Aston Villa,€61.4M
João Pedro,23,Brighton,€61.3M
Darwin Núñez,25,Liverpool,€60.9M
Alejandro Garnacho,20,Man Utd,€60.7M
Pedro Neto,25,Chelsea,€60.6M
Dejan Kulusevski,25,Tottenham,€60.5M
Manuel Ugarte Ribeiro,24,Man Utd,€60.4M
Cristian Romero,27,Tottenham,€60.1M
Destiny Udogie,22,Tottenham,€59.4M
Illia Zabarnyi,22,B'mouth,€58.8M
Diogo Jota,28,Liverpool,€58.6M
Rúben Dias,27,Man City,€58.5M
Archie Gray,19,Tottenham,€58.2M
James Maddison,28,Tottenham,€58.1M
Ibrahima Konaté,25,Liverpool,€57.2M
Bryan Mbeumo,25,Brentford,€57.2M
Levi Colwill,22,Chelsea,€56.6M
Pedro Porro,25,Tottenham,€55.9M
Trent Alexander-Arnold,26,Liverpool,€55.8M
Dean Huijsen,20,B'mouth,€55M
Rasmus Højlund,22,Man Utd,€54.9M
Bruno Fernandes,30,Man Utd,€54.8M
Marc Guéhi,24,C. Palace,€54.2M
Marcus Rashford,27,Aston Villa,€53.6M
Sandro Tonali,25,Newcastle Utd.,€52.9M
Carlos Baleba,21,Brighton,€52.4M
Matthijs de Ligt,25,Man Utd,€52.2M
Dominic Solanke,27,Tottenham,€52.1M
Christopher Nkunku,27,Chelsea,€51.7M
Noni Madueke,23,Chelsea,€51.6M
João Gomes,24,Wolverhampton,€51.1M
Pape Matar Sarr,22,Tottenham,€50.8M
Kaoru Mitoma,27,Brighton,€50.6M
Bernardo Silva,30,Man City,€50M
Anthony Gordon,24,Newcastle Utd.,€49.5M
Valentino Livramento,22,Newcastle Utd.,€49.3M
Riccardo Calafiori,22,Arsenal,€49.3M
Lisandro Martínez,27,Man Utd,€49.2M
Adam Wharton,21,C. Palace,€48.9M
Amad Diallo,22,Man Utd,€48.5M
Jarrod Bowen,28,West Ham United,€48.1M
Antoine Semenyo,25,B'mouth,€47.7M
Joelinton,28,Newcastle Utd.,€47.5M
Elliot Anderson,22,Nottingham,€46.5M
Antonee Robinson,27,Fulham,€46.4M
Boubacar Kamara,25,Aston Villa,€46.3M
Jacob Ramsey,23,Aston Villa,€45.8M
Anthony Elanga,23,Nottingham,€45.5M
Pau Torres,28,Aston Villa,€45.3M
Rayan Ait-Nouri,23,Wolverhampton,€45M
Justin Kluivert,26,B'mouth,€44.8M
Joshua Zirkzee,23,Man Utd,€43.7M
Noussair Mazraoui,27,Man Utd,€43M
Manuel Akanji,29,Man City,€42.8M
Ezri Konsa,27,Aston Villa,€42.7M
Yankuba Minteh,20,Brighton,€42.6M
Jan Paul van Hecke,24,Brighton,€42.4M
Matheus Nunes,26,Man City,€42.3M
Guglielmo Vicario,28,Tottenham,€41.6M
Youri Tielemans,28,Aston Villa,€41.5M
Harvey Barnes,27,Newcastle Utd.,€41.5M
Georginio Rutter,23,Brighton,€41.3M
Emile Smith Rowe,24,Fulham,€40.8M
Bilal El Khannouss,20,Leicester,€40.6M
Mikel Merino,28,Arsenal,€40.5M
Marc Cucurella,26,Chelsea,€39.4M
Leon Bailey,27,Aston Villa,€39.2M
Mohamed Salah,32,Liverpool,€38.5M
Nikola Milenković,27,Nottingham,€38M
Jadon Sancho,25,Chelsea,€37.7M
Diogo Dalot,26,Man Utd,€37.4M
Pervis Estupiñán,27,Brighton,€37.1M
Liam Delap,22,Ipswich Town,€37M
Max Kilman,27,West Ham United,€36.7M
Edson Álvarez,27,West Ham United,€36.5M
Jean-Clair Todibo,25,West Ham United,€36M
Joe Willock,25,Newcastle Utd.,€35.8M
Myles Lewis-Skelly,18,Arsenal,€34.9M
Lewis Hall,20,Newcastle Utd.,€34.5M
André Onana,29,Man Utd,€34.2M
Vitaliy Mykolenko,25,Everton,€33.5M
Nathan Collins,24,Brentford,€33.3M
Matty Cash,27,Aston Villa,€32.9M
Malo Gusto,21,Chelsea,€32.8M
Tyler Dibling,19,Southampton,€32.7M
Lucas Bergvall,19,Tottenham,€32.6M
Jarrad Branthwaite,22,Everton,€32.2M
Leandro Trossard,30,Arsenal,€31.8M
Jean-Philippe Mateta,27,C. Palace,€31.7M
Rodrigo Bentancur,27,Tottenham,€31.5M
Joachim Andersen,28,Fulham,€31.4M
Yoane Wissa,28,Brentford,€31.4M
Daniel Muñoz,28,C. Palace,€30.9M
Jørgen Strand Larsen,25,Wolverhampton,€30.8M
Facundo Buonanotte,20,Leicester,€30.7M
Son Heung-min,32,Tottenham,€30.7M
Bart Verbruggen,22,Brighton,€30.7M
Wesley Fofana,24,Chelsea,€30.3M
Alex Iwobi,29,Fulham,€30.3M
Callum Hudson-Odoi,24,Nottingham,€30.2M
Calvin Bassey,25,Fulham,€29.9M
Taylor Harwood-Bellis,23,Southampton,€29.9M
André,23,Wolverhampton,€29.8M
Yves Bissouma,28,Tottenham,€29.8M
Kevin Schade,23,Brentford,€29.7M
David Raya,29,Arsenal,€28.9M
Mikkel Damsgaard,24,Brentford,€28.6M
Dango Ouattara,23,B'mouth,€28.5M
Radu Drăguşin,23,Tottenham,€28.4M
Leif Davis,25,Ipswich Town,€28.2M
Sander Berge,27,Fulham,€27.8M
Maxence Lacroix,25,C. Palace,€27.7M
Keane Lewis-Potter,24,Brentford,€27.1M
Vitaly Janelt,26,Brentford,€27.1M
Lesley Ugochukwu,21,Southampton,€27M
Dwight McNeil,25,Everton,€27M
Evanilson,25,B'mouth,€26.9M
Aaron Wan-Bissaka,27,West Ham United,€26.9M
Sepp van den Berg,23,Brentford,€26.4M
Iliman Ndiaye,25,Everton,€25.7M
Ismaïla Sarr,27,C. Palace,€25.7M
Mateo Kovačić,31,Man City,€25.3M
Jacob Greaves,24,Ipswich Town,€25.1M
Wout Faes,27,Leicester,€25M
Robert Sánchez,27,Chelsea,€24.9M
Tyrick Mitchell,25,C. Palace,€24.6M
Jesper Lindstrøm,25,Everton,€24.4M
Marcus Tavernier,26,B'mouth,€24.4M
Tyler Adams,26,B'mouth,€24.4M
Beto,27,Everton,€24.4M
Orel Mangala,27,Everton,€24.4M
Tosin Adarabioyo,27,Chelsea,€24.3M
Virgil van Dijk,33,Liverpool,€24.3M
Alisson,32,Liverpool,€24.1M
Andrew Robertson,31,Liverpool,€24M
Victor Bernth Kristiansen,22,Leicester,€23.9M
Carlos Soler,28,West Ham United,€23.4M
Neco Williams,24,Nottingham,€23.4M
Tomáš Souček,30,West Ham United,€23.2M
James Garner,24,Everton,€23.2M
Dean Henderson,28,C. Palace,€22.7M
Jordan Pickford,31,Everton,€22.6M
Mateus Fernandes,20,Southampton,€22.5M
John McGinn,30,Aston Villa,€22.5M
Kristoffer Ajer,27,Brentford,€21.5M
Yasin Ayari,21,Brighton,€21.4M
Jean-Ricner Bellegarde,26,Wolverhampton,€21.3M
Marcos Senesi,27,B'mouth,€20.4M
Wilfred Ndidi,28,Leicester,€20.3M
Trevoh Chalobah,25,Chelsea,€20.1M
Kevin De Bruyne,33,Man City,€20.1M
Mads Hermansen,24,Leicester,€19.8M
Djed Spence,24,Tottenham,€19.8M
Jake O'Brien,23,Everton,€19.7M
Dara O'Shea,26,Ipswich Town,€19.5M
Jack Clarke,24,Ipswich Town,€19.4M
Lewis Cook,28,B'mouth,€19.3M
Ederson,31,Man City,€19.1M
Konstantinos Mavropanos,27,West Ham United,€19.1M
Andreas Pereira,29,Fulham,€19M
Nicolás Domínguez,26,Nottingham,€18.8M
Ola Aina,28,Nottingham,€18.8M
Aaron Ramsdale,26,Southampton,€18.7M
Toti Gomes,26,Wolverhampton,€18.6M
Cameron Archer,23,Southampton,€18.6M
Kamaldeen Sulemana,23,Southampton,€18.5M
Ryan Yates,27,Nottingham,€18.3M
Yehor Yarmoliuk,21,Brentford,€18M
Emmanuel Agbadou,27,Wolverhampton,€18M
Jacob Murphy,30,Newcastle Utd.,€17.9M
Issa Diop,28,Fulham,€17.9M
Dominic Calvert-Lewin,28,Everton,€17.8M
Jack Harrison,28,Everton,€17.7M
Emiliano Martínez,32,Aston Villa,€17.5M
Timothy Castagne,29,Fulham,€17.4M
Kalvin Phillips,29,Ipswich Town,€17.2M
James Justin,27,Leicester,€17M
Oliver Skipp,24,Leicester,€17M
Caleb Okoli,23,Leicester,€16.7M
Kyle Walker-Peters,28,Southampton,€16.6M
Ryan Christie,30,B'mouth,€16.2M
Yukinari Sugawara,24,Southampton,€15.7M
Chris Richards,25,C. Palace,€15.7M
Jens Cajuste,25,Ipswich Town,€15.5M
Boubakary Soumaré,26,Leicester,€15.4M
Thomas Partey,31,Arsenal,€15.2M
Daichi Kamada,28,C. Palace,€14.6M
Harry Wilson,28,Fulham,€14.5M
Christian Nørgaard,31,Brentford,€14.4M
Sammie Szmodics,29,Ipswich Town,€14.1M
Kenny Tete,29,Fulham,€14M
Harry Maguire,32,Man Utd,€13.7M
Bernd Leno,33,Fulham,€13.7M
Guido Rodríguez,31,West Ham United,€13.6M
Lucas Digne,31,Aston Villa,€13.6M
Jefferson Lerma,30,C. Palace,€13.6M
Mark Flekken,31,Brentford,€13.6M
Jan Bednarek,29,Southampton,€12.9M
Stephy Mavididi,26,Leicester,€12.9M
Paul Onuachu,30,Southampton,€12.7M
Ben Johnson,25,Ipswich Town,€12.6M
Emerson Palmieri,30,West Ham United,€12.6M
Saša Lukić,28,Fulham,€12.1M
İlkay Gündoğan,34,Man City,€12.1M
Kepa Arrizabalaga,30,B'mouth,€12M
Alphonse Aréola,32,West Ham United,€11.8M
James Tarkowski,32,Everton,€11.8M
Nick Pope,33,Newcastle Utd.,€11.7M
Casemiro,33,Man Utd,€11.6M
Harry Winks,29,Leicester,€11.4M
Santiago Bueno,26,Wolverhampton,€11.2M
Will Hughes,30,C. Palace,€11.1M
Álex Moreno,31,Nottingham,€11M
Fabian Schär,33,Newcastle Utd.,€11M
Arijanet Murić,26,Ipswich Town,€10.1M
Jack Hinshelwood,20,Brighton,€9.2M
Flynn Downes,26,Southampton,€9.2M
Dan Burn,33,Newcastle Utd.,€9.1M
Matz Sels,33,Nottingham,€9.1M
José Sá,32,Wolverhampton,€8.5M
Nélson Semedo,31,Wolverhampton,€8.4M
Rodrigo Muniz,24,Fulham,€8.2M
Adama Traoré,29,Fulham,€8M
Chris Wood,33,Nottingham,€7.8M
Ethan Pinnock,31,Brentford,€7.6M
Lewis Dunk,33,Brighton,€7.4M
Joe Aribo,28,Southampton,€6.9M
Danny Welbeck,34,Brighton,€6M
Abdoulaye Doucouré,32,Everton,€5.8M
Stefan Ortega,32,Man City,€5.8M
Tyrone Mings,32,Aston Villa,€5.8M
Joël Veltman,33,Brighton,€5.7M
Ben Davies,32,Tottenham,€5.6M
Kieran Trippier,34,Newcastle Utd.,€5.1M
Raúl Jiménez,34,Fulham,€5.1M
Idrissa Gana Gueye,35,Everton,€5M
Axel Tuanzebe,27,Ipswich Town,€4.2M
Christian Eriksen,33,Man Utd,€4.2M
Matt Doherty,33,Wolverhampton,€4.2M
Jordan Ayew,33,Leicester,€4.2M
Ryan Manning,28,Southampton,€3.9M
Conor Coady,32,Leicester,€2.2M
Wes Burns,30,Ipswich Town,€2.1M
Jannik Vestergaard,32,Leicester,€2M
Luke Woolfenden,26,Ipswich Town,€2M
Cameron Burgess,29,Ipswich Town,€1.7M
Adam Smith,34,B'mouth,€1.5M
Craig Dawson,35,Wolverhampton,€1.5M
Jack Stephens,31,Southampton,€1.4M
Ashley Young,39,Everton,€1.3M
Sam Morsy,33,Ipswich Town,€1.3M
Jamie Vardy,38,Leicester,€1M
Łukasz Fabiański,40,West Ham United,€0.9M
